"_time",IPSource,ja3,PortDestination,PortSource,UserAgent,Request
"2018-03-25 15:39:41.616 UTC","103.53.32.155",5001b4c2a48c94b76ca1f0199345fe60,443,56710,,
"2018-03-25 15:38:57.205 UTC","103.53.32.155",5001b4c2a48c94b76ca1f0199345fe60,443,55215,,
"2018-03-25 15:38:50.629 UTC","103.53.32.155",5001b4c2a48c94b76ca1f0199345fe60,443,54673,,
"2018-03-25 15:34:08.832 UTC","103.53.32.155",5001b4c2a48c94b76ca1f0199345fe60,443,51625,,
"2018-03-25 15:32:37.050 UTC","141.212.122.48",de13f4c4d70f4211159e2360e806a742,443,38522,,
"2018-03-25 15:21:22.404 UTC","141.212.122.48",de13f4c4d70f4211159e2360e806a742,443,49047,,
"2018-03-25 15:14:38.477 UTC","184.105.139.69",22aa2bdb630c59d5ff64a34017e418c4,443,62432,"-","GET / HTTP/1.1"
"2018-03-25 15:14:05.477 UTC","184.105.139.69",44609cef6ec7084c37c59c6317edb271,443,46658,"-","GET / HTTP/1.1"
"2018-03-25 15:12:54.238 UTC","74.82.47.4",22aa2bdb630c59d5ff64a34017e418c4,443,40404,"-","GET / HTTP/1.1"
"2018-03-25 15:12:24.962 UTC","74.82.47.4",44609cef6ec7084c37c59c6317edb271,443,29500,"-","GET / HTTP/1.1"
"2018-03-25 15:12:13.477 UTC","184.105.139.69",caaddd3ed0a315543d761490b01b08e0,443,53368,"-","GET / HTTP/1.1"
"2018-03-25 15:11:13.265 UTC","184.105.139.68",22aa2bdb630c59d5ff64a34017e418c4,443,37668,"-","GET / HTTP/1.1"
"2018-03-25 15:10:40.577 UTC","184.105.139.68",44609cef6ec7084c37c59c6317edb271,443,24218,"-","GET / HTTP/1.1"
"2018-03-25 15:08:32.698 UTC","74.82.47.4",caaddd3ed0a315543d761490b01b08e0,443,35598,"-","GET / HTTP/1.1"
"2018-03-25 15:07:50.508 UTC","184.105.139.68",caaddd3ed0a315543d761490b01b08e0,443,65050,"-","GET / HTTP/1.1"
"2018-03-25 14:58:53.520 UTC","184.105.247.196",22aa2bdb630c59d5ff64a34017e418c4,443,39482,"-","GET / HTTP/1.1"
"2018-03-25 14:58:26.184 UTC","184.105.247.196",44609cef6ec7084c37c59c6317edb271,443,24814,"-","GET / HTTP/1.1"
"2018-03-25 14:55:14.171 UTC","184.105.247.196",caaddd3ed0a315543d761490b01b08e0,443,35562,"-","GET / HTTP/1.1"
"2018-03-25 14:44:45.455 UTC","141.212.122.48",de13f4c4d70f4211159e2360e806a742,443,20938,,
"2018-03-25 14:40:32.223 UTC","67.21.36.2",20c9baf81bfe96ff89722899e75d0190,443,46756,"Mozilla/5.0 zgrab/0.x","GET /robots.txt HTTP/1.1"
"2018-03-25 14:39:23.681 UTC","106.15.76.85",c3a6cf0bf2e690ac8e1ecf6081f17a50,992,34344,,
